Rumor Claim	URL	Number of Cascades	Number of Tweets	Number of Users	Collected From	Collected By
Ruth Bader Ginsburg said that pedophilia was good for children.	https://www.snopes.com/fact-check/did-ruth-bader-ginsburg-say-that-pedophilia-was-good-for-children/	139	173	149	2018-03-09	2018-10-01
Delta Airlines gives members of Planned Parenthood discounted rates on air travel.	https://www.snopes.com/fact-check/does-delta-airlines-give-planned-parenthood-members-discounted-rates/	25	107	98	2018-03-04	2018-03-30
President Trump's daughter Ivanka has been fired from her position at the White House.	https://www.snopes.com/fact-check/ivanka-trump-rampage/	230	17344	16769	2018-03-03	2018-09-24
David Hogg posted a homophobic slur on Twitter in June 2016.	https://www.snopes.com/fact-check/fake-tweet-parkland-survivor-david-hogg/	5	105	105	2018-03-04	2018-04-17
Billionaire investor and former Trump adviser Carl Icahn sold off approximately $30 million worth of stock in a steel-dependent company in the weeks leading up to the president's announcement of tariffs on steel imports.	https://www.snopes.com/fact-check/carl-icahn-stock-steel-tariffs/	21	144	140	2018-03-08	2018-08-01
A photograph shows a young girl in South Africa who had a "Joker smile" carved into her face.	https://www.snopes.com/fact-check/did-girl-smile-carved-face-south-africa/	21	2163	2157	2018-03-05	2018-05-31
Tee markers emblazoned with the U.S. presidential seal were manufactured for and installed at a golf course owned by the Trump Organization.	https://www.snopes.com/fact-check/trump-presidential-seal/	82	7014	6410	2018-03-05	2018-07-24
A federal appeals court has ordered that Barack Obama repay $400 million to the American people.	https://www.snopes.com/fact-check/obama-400-million-restitution/	77	161	156	2018-03-11	2018-08-17
An Ohio high school student was suspended for not participating in a walkout protest over gun violence.	https://www.snopes.com/fact-check/student-suspended-staying-in-class/	59	516	499	2018-03-16	2018-08-08
British police found Russian president Vladimir Putin's passport at the scene of a chemical attack on former Russian spy Sergei Skripal in Salisbury, England.	https://www.snopes.com/fact-check/putin-passport-salisbury-poison-attack/	195	326	304	2018-03-16	2018-09-24
President Obama congratulated Vladimir Putin for Russia's election results in 2012, a diplomatic move for which President Trump was criticized in 2018.	https://www.snopes.com/fact-check/president-barack-obama-congratulate-putin-2012-win/	324	1358	1287	2018-03-20	2018-09-24
A video shows a group of Muslim immigrants attacking a Catholic church during mass.	https://www.snopes.com/fact-check/muslim-migrants-attack-catholic-church-mass-france/	68	131	109	2018-03-21	2018-09-29
A photograph shows President Donald Trump with his wife Melania Trump and his alleged mistress Stormy Daniels.	https://www.snopes.com/fact-check/donald-trump-melania-trump-stormy-daniels/	2128	10959	8776	2016-11-05	2018-10-02
Barack Obama's 2008 and 2012 presidential campaigns used the same tactics and techniques for which Cambridge Analytica and the Trump campaign criticized in 2018.	https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/	85	129	125	2018-03-21	2018-07-10
Marjory Stoneman Douglas student David Hogg was caught lying about being on campus during a February 2018 school shooting when he told CBS that he had to get on his bicycle and ride to school.	https://www.snopes.com/fact-check/david-hogg-on-campus-rumor-hoax/	109	131	118	2018-03-27	2018-07-26
David Hogg gave a Nazi salute at the end of his "March for Our Lives" speech.	https://www.snopes.com/fact-check/david-hogg-give-nazi-salute/	78	330	320	2018-03-24	2018-07-19
Parkland mass shooting survivor Emma González admitted to bullying a former student who later killed seventeen people.	https://www.snopes.com/fact-check/did-gonzalez-admit-bullying-school-shooter/	89	158	146	2018-03-28	2018-08-25
Roseanne Barr posed as Hitler for an issue of satirical Jewish magazine 'Heeb.'	https://www.snopes.com/fact-check/did-roseanne-pose-as-adolf-hitler-photo-shoot/	174	300	270	2018-03-29	2018-05-31
Actor Channing Tatum and dancer and actor Jenna Dewan announced their separation in April 2018.	https://www.snopes.com/fact-check/channing-tatum-jenna-dewan-divorce/	355	1326	1274	2018-01-19	2018-09-06
Whistleblower Christopher Wylie's Facebook account was suspended after he came forward with allegations that Cambridge Analytica improperly acquired users' profile data.	https://www.snopes.com/fact-check/facebook-suspend-account-whistleblower-exposed-cambridge-analytica/	31	94	85	2018-04-04	2018-05-24
Fortnite Games announced on Twitter that it is ending "Battle Royale" due to a copyright infringement lawsuit from a competitor.	https://www.snopes.com/fact-check/fortnite-battle-royale-ending/	2127	2518	2068	2018-03-15	2018-10-02
An "extreme snuff film" in which Hillary Clinton and aide Huma Abedin are seen raping and mutilating a prepubescent girl is circulating on the dark web under the code name "Frazzledrip."	https://www.snopes.com/fact-check/hillary-clinton-snuff-film/	536	817	625	2018-04-15	2018-09-28
A WhatsApp video known as "Martinelli" spreads malware that irreparably hacks your cell phone.	https://www.snopes.com/fact-check/whatsapp-martinelli-phone-virus-warning/	35	1030	1025	2018-04-17	2018-09-03
One of Vice President Mike Pence's older brothers, Ed Pence, is an executive at Cummins Inc., a company that manufactures engines for the Russian military and has also used lobbying firms connected with Paul Manafort, indicating that Mike Pence may have compromising ties to Russia.	https://www.snopes.com/fact-check/mike-pences-brother-russian-military/	54	347	331	2018-04-23	2018-09-15
Assembly Bill 2943 would prohibit the sale of Bibles in California.	https://www.snopes.com/fact-check/california-bible-ban/	64	105	95	2018-04-20	2018-09-28
The royal family's official town crier announced the birth of Prince William and the Duchess of Cambridge's third child.	https://www.snopes.com/fact-check/town-crier-announces-royal-birth/	37	295	291	2018-04-23	2018-07-14
YETI told the NRA the brand no longer wishes to do business with the organization, demonstrating that YETI does not support the Second Amendment.	https://www.snopes.com/fact-check/yeti-nra-business-ties/	930	8822	8350	2018-04-05	2018-09-25
President Donald Trump was using an anti-Semitic slur when he called NBC host Chuck Todd "sleepy eyes."	https://www.snopes.com/fact-check/sleepy-eyes-anti-semitic-slur/	196	4124	3972	2018-04-22	2018-09-13
Maine's House Democrats voted to allow female genital mutilation.	https://www.snopes.com/fact-check/did-maine-democrats-vote-to-allow-fgm/	637	2300	2068	2018-04-19	2018-09-26
Hillary Clinton used a hammer to smash her mobile phone during an FBI investigation.	https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/	123	162	147	2018-04-28	2018-09-30
The Westmoreland News ran a KKK ad on the front page of their newspaper in April 2018.	https://www.snopes.com/fact-check/kkk-ad-front-page/	54	775	766	2018-04-28	2018-07-13
Actress Allison Mack confessed that she sold children to the Rothschilds and Clintons.	https://www.snopes.com/fact-check/allison-mack-rothschild-clinton/	10	111	110	2018-04-30	2018-09-17
Hillary Clinton was killed during an FBI raid on the Clintons' New York home.	https://www.snopes.com/fact-check/hillary-clinton-killed-fbi-raid/	76	206	197	2018-04-30	2018-05-11
The National Rifle Association banned attendees from carrying firearms into their "2018 Leadership Forum" in Dallas, Texas.	https://www.snopes.com/fact-check/nra-events-guns/	34	234	229	2018-04-27	2018-06-30
Republican candidate for U.S. Senate in California, Patrick Little, has expressed anti-semitic views, including calling for a United States "free from Jews."	https://www.snopes.com/fact-check/patrick-little-neo-nazi-california/	95	299	282	2018-04-27	2018-07-10
U.S. President Donald Trump has been awarded the 2018 Nobel Peace Prize.	https://www.snopes.com/fact-check/donald-trump-nobel-peace-prize/	12099	84894	63645	2009-06-08	2018-10-02
Michelle Obama, as First Lady, never placed her hand on her heart during the national anthem.	https://www.snopes.com/fact-check/michelle-obama-anthem-heart/	41	96	88	2018-05-07	2018-06-07
The Obama administration failed to secure the release of three men being detained by North Korea in 2018.	https://www.snopes.com/fact-check/obama-administration-unable-arrange-release/	74	100	94	2018-05-03	2018-07-07
Melania Trump plagiarized a document from the Federal Trade Commission for her "Be Best" campaign.	https://www.snopes.com/fact-check/did-melania-trump-plagiarize-pamphlet/	21	34	29	2018-05-08	2018-07-11
The legalization of marijuana will force police departments to euthanize their drug sniffing dogs.	https://www.snopes.com/fact-check/legalizing-marijuana-necessitate-euthanizing-pot-sniffing-dogs/	48	108	105	2018-05-07	2018-05-25
A photograph shows President Barack Obama bowing to Iran's supreme leader Ali Khamenei.	https://www.snopes.com/fact-check/president-obama-bow-ayatollah-khamenei/	145	201	168	2018-05-10	2018-09-17
Sarah Huckabee Sanders has lost the confidence of the President and will be replaced.	https://www.snopes.com/fact-check/sarah-huckabee-sanders-replaced/	114	2069	2033	2018-05-03	2018-10-01
Sen. John McCain was referred to as "Songbird John" following his imprisonment during the Vietnam War.	https://www.snopes.com/fact-check/was-sen-john-mccain-a-hanoi-hilton-songbird/	289	442	355	2016-07-15	2018-09-27
So far in 2018, the number of U.S. students killed in school shootings is greater than the number of U.S. military personnel who have been killed on active duty.	https://www.snopes.com/fact-check/school-shooting-military-deaths/	14	192	191	2018-05-18	2018-05-23
A German football club was banned from playing games outside Germany in 1934, after they failed to give a Nazi salute.	https://www.snopes.com/fact-check/german-football-club-banned-failing-give-nazi-salute/	140	345	329	2018-05-25	2018-07-21
The U.S. government lost track of some 1,475 immigrant children who were placed in sponsor homes.	https://www.snopes.com/fact-check/1475-immigrant-children-missing/	79	215	209	2018-05-26	2018-09-30
Former NFL quarterback Tim Tebow knelt on the field during the national anthem as a protest against abortion.	https://www.snopes.com/fact-check/tim-tebow-kneel-anthem/	67	114	99	2018-05-25	2018-09-22
A Home Depot representative posted a caustic social media comment in response to a Fox News article.	https://www.snopes.com/fact-check/home-depot-hat-response/	142	734	718	2017-12-19	2018-10-01
Virginia congressional candidate Nathan Larson admitted that he is a pedophile.	https://www.snopes.com/fact-check/nathan-larson-candidate/	2854	20465	16797	2018-05-18	2018-10-02
A revealing photograph shows President Obama with current and future FBI directors.	https://www.snopes.com/fact-check/obama-fbi-connect-dots/	92	267	253	2017-11-10	2018-09-30
In June 2018, Ivanka Trump adopted the alias "Adrienne Vittadini" to market her fashion line to unwitting buyers.	https://www.snopes.com/fact-check/ivanka-trumps-line-rebranded-adrienne-vittadini/	765	7578	6924	2018-05-28	2018-09-08
In May 2018 President Trump donated one-fourth of his $400,000-per-year salary to the Department of Veterans Affairs.	https://www.snopes.com/fact-check/trump-donate-salary-va/	29	235	233	2018-06-04	2018-09-27
It's now against the law in California to shower and do laundry on the same day.	https://www.snopes.com/fact-check/california-laundry-and-shower/	1198	15499	12994	2018-06-02	2018-10-01
President Obama pardoned Chelsea Manning and 1,700 other criminals during his eight years in office, including more than 330 in his final week.	https://www.snopes.com/fact-check/barack-obama-pardon-330-criminals-final-week-office/	58	122	109	2018-06-06	2018-08-22
A Tennessee hardware store put up a sign reading "no gays allowed."	https://www.snopes.com/fact-check/did-hardware-store-no-gays-allowed-sign/	93	2869	2826	2018-06-06	2018-08-16
Pope Francis was part of a group condemned in an international court of killing and trafficking children.	https://www.snopes.com/fact-check/was-pope-guilty-trafficking-murder/	143	247	154	2017-10-13	2018-09-30
As of May 2018, there were more than 10,000 unaccompanied children in United States government immigration detention centers.	https://www.snopes.com/fact-check/are-10000-children-in-u-s-detention-centers/	84	181	172	2018-06-09	2018-09-30
An investigation determined that celebrity chef Anthony Bourdain was killed by Hillary Clinton operatives.	https://www.snopes.com/fact-check/anthony-bourdain-killed-by-clinton-operatives/	263	405	337	2018-06-08	2018-09-11
The Environmental Protection Agency will allow new asbestos products to enter the market.	https://www.snopes.com/fact-check/is-epa-allowing-asbestos-products/	120	140	135	2018-06-12	2018-10-01
Comedian and talk show host Bill Maher said he hopes an economic recession will occur because it's a way to get rid of President Trump."	https://www.snopes.com/fact-check/bill-maher-recession-get-rid-trump/	16	324	317	2018-06-09	2018-07-21
Rep. Steve King (R-Iowa) retweeted a post by a known white supremacist.	https://www.snopes.com/fact-check/iowa-congressman-retweet-white-supremacist/	53	214	193	2018-06-13	2018-09-29
A Trump Tower hotel opened in Pyongyang, North Korea within a day of the historic summit between President Trump and Kim Jong-Un.	https://www.snopes.com/fact-check/trump-tower-opens-pyongyang/	41	81	78	2018-06-07	2018-09-27
While greeting North Korean dignitaries during his summit meeting with Chairman Kim Jong Un, President Trump returned the military salute of a North Korean general.	https://www.snopes.com/fact-check/trump-salute-north-korean-general/	105	521	479	2018-06-14	2018-09-17
The famous children's character "Winnie the Pooh" is a female bear.	https://www.snopes.com/fact-check/winnie-pooh-actually-girl/	459	615	592	2015-11-08	2018-10-01
A "law to separate families" was enacted prior to April 2018, and the federal government is powerless not to enforce it.	https://www.snopes.com/fact-check/was-law-separate-families-passed-1997/	1145	2117	1981	2018-06-18	2018-09-22
The widely debated practice of separating families at the border is mandated by Public Law 107-296, which was passed by Democrats in 2002.	https://www.snopes.com/fact-check/does-law-family-separation-detention-minors/	128	622	598	2018-06-19	2018-09-22
The Obama administration placed immigrant children with human traffickers.	https://www.snopes.com/fact-check/did-obama-administration-children-human-traffickers/	303	851	741	2018-06-18	2018-10-02
In June 2018, members of the United Methodist Church brought church charges, including child abuse, against Attorney General Jeff Sessions.	https://www.snopes.com/fact-check/methodists-jeff-sessions-child-abuse-immigration/	683	1095	1054	2018-06-19	2018-08-14
In June 2018, the actor Peter Fonda suggested in a tweet that Barron Trump should be kidnapped, as a protest against the president's immigration policy.	https://www.snopes.com/fact-check/peter-fonda-barron-trump/	12	12	12	2018-06-20	2018-08-11
The Trump administration is paying Southwest Key $458 million to run immigrant child detention centers, and its CEO earns a $1.5 million salary.	https://www.snopes.com/fact-check/is-trump-administration-southwest-key-458-million/	102	357	347	2018-06-22	2018-09-26
Stephen Miller — a principal architect of the Trump administration’s immigration policy — is the descendant of asylum seekers who escaped anti-Jewish persecution in Eastern Europe.	https://www.snopes.com/fact-check/stephen-miller-descendant-asylum-seekers-fled-anti-semitic-violence/	229	441	399	2018-06-21	2018-09-09
News media outlets falsely reported that a photograph of a crying toddler depicted a small girl separated from her mother at the border.	https://www.snopes.com/fact-check/immigrant-girl-never-separated/	32	108	98	2018-06-22	2018-07-08
Undocumented immigrants have killed 63,000 U.S. citizens since 9/11.	https://www.snopes.com/fact-check/have-undocumented-killed-63000-us-9-11/	320	465	429	2018-06-23	2018-09-28
233 U.S. Representatives voted in April 2018 to use funds from Social Security's $2.9 trillion surplus in an effort to balance the budget.	https://www.snopes.com/fact-check/did-233-vote-steal-social-security/	28	33	30	2018-06-22	2018-09-19
Harley-Davidson's chief executive officer Matthew Levatich called President Trump "a moron."	https://www.snopes.com/fact-check/did-ceo-harley-davidson-trump-moron/	62	128	122	2018-06-26	2018-08-29
Under President Barack Obama, 89,000 children were separated from their immigrant parents at the United States border.	https://www.snopes.com/fact-check/obama-trump-child-separation-meme/	97	419	387	2018-06-29	2018-09-09
President Obama said "If we don’t do something about this president, I will" at a Democratic fundraiser in June 2018.	https://www.snopes.com/fact-check/obama-do-something-about-president/	140	288	264	2018-07-01	2018-09-28
If Democrats gain a majority in the House of Representatives,  Maxine Waters could become chair of a committee that has the power to subpoena President Trump’s bank records.	https://www.snopes.com/fact-check/maxine-waters-subpoena-trump/	49	81	77	2018-07-02	2018-08-14
Donald Trump donates his entire presidential salary and Melania Trump has a White House staff of only four, while President Obama donated nothing and First Lady Michelle Obama had a staff of 23.	https://www.snopes.com/fact-check/trump-obama-salary-donations/	53	112	104	2018-07-08	2018-08-29
In a 2018 rally, President Trump compared his mouth to Elton John’s organ, adding that the brain is “hopefully attached to the mouth.”	https://www.snopes.com/fact-check/trump-mouth-musical-instrument/	68	148	137	2018-07-06	2018-09-26
The Republican majority in the House Appropriations Committee voted to approve an amendment allowing taxpayer-funded adoption agencies to deny services to LGBTQ families.	https://www.snopes.com/fact-check/republicans-ban-gays-lesbians-adopting/	101	290	281	2018-07-12	2018-09-26
A Russian asbestos company placed a seal with the face of President Donald Trump on their product with the note "Approved by Donald Trump, 45th President of the United States."	https://www.snopes.com/fact-check/russian-asbestos-trump_face/	78	98	98	2018-08-09	2018-09-16
In the summer of 2018, President Donald Trump donated his entire $400,000 annual salary to the Department of the Interior for the purpose of rebuilding military cemeteries.	https://www.snopes.com/fact-check/trump-salary-military-cemeteries/	62	100	91	2018-08-11	2018-10-01
A "Trump and Obama by the Numbers" CNN graphic showed President Trump with a higher job approval rating than President Obama.	https://www.snopes.com/fact-check/trump-and-obama-by-the-numbers/	31	132	126	2018-08-13	2018-09-14
Michael Jordan resigned from the board at Nike and took his Air Jordan line of apparel with him.	https://www.snopes.com/fact-check/jordan-nike-board/	38	116	107	2018-09-05	2018-09-12
A man accidentally burned down his home while attempting to set his Nike shoes on fire in protest over the company's ties with Colin Kaepernick.	https://www.snopes.com/fact-check/house-fire-nike-shoes-burn/	68	92	87	2018-09-05	2018-09-10
Detained immigrant children were strapped to chairs with bags over their heads.	https://www.snopes.com/fact-check/immigrant-teenagers-strapped-to-chairs-with-bags-over-their-heads/	128	220	208	2018-09-06	2018-09-27
A photograph shows President Trump making a "fist-pumping" hand gesture at a memorial for 9/11 victims.	https://www.snopes.com/fact-check/trump-fist-pump-911/	78	243	236	2018-09-10	2018-09-19
Inmates at Orleans Parish Prison spent several days in flooded cells while awaiting rescue after Hurricane Katrina, and hundreds of them disappeared.	https://www.snopes.com/fact-check/inmates-abandoned-katrina/	15	456	456	2018-09-11	2018-09-23
Sen. Ted Cruz's campaign has sent fundraising letters with an envelope made up to resemble a legal summons.	https://www.snopes.com/fact-check/ted-cruz-summons-mailings/	60	98	88	2018-09-18	2018-09-25
In a 1996 foreclosure case, Judge Martha Kavanaugh ruled against Ralph and Paula Blasey, thus providing motive for revenge for their daughter Christine against Judge Kavanaugh's son Brett, a Supreme Court nominee in 2018.	https://www.snopes.com/fact-check/brett-kavanaugh-foreclosure-accuser-parents/	104	140	134	2018-09-17	2018-10-02
Ilhan Omar took part in a ceremonial swearing-in for the Minnesota House of Representatives with her hand on a Quran.	https://www.snopes.com/fact-check/ilhan-omar-sworn-quran/	54	255	241	2018-08-15	2018-10-02
Rev. Franklin Graham said "attempted rape is not a crime" and that Brett Kavanaugh "respected" his victim by "not finishing."	https://www.snopes.com/fact-check/franklin-graham-attempted-rape/	104	233	224	2018-09-20	2018-10-01
Senator Richard Blumenthal misrepresented his record of military service during the Vietnam War.	https://www.snopes.com/fact-check/richard-blumenthal-vietnam/	83	131	117	2018-09-25	2018-10-02
About 99% of rape allegations are fabricated.	https://www.snopes.com/fact-check/rape-allegations-fabricated/	120	206	195	2018-09-17	2018-09-30
Kavanaugh accuser Julie Swetnick has a restraining order against her from an ex-boyfriend.	https://www.snopes.com/fact-check/julie-swetnick-restraining-order/	48	868	858	2018-09-27	2018-10-01
